"TR_No","SL","Item","P","Q","R","W","Amount","VType","Account_Party","Control_Code","Narration","AC_Party2","GatePassNo","GatePassDt","Veh_No","Spindles","Frame","E_S_D","Item_Spec","Entry_DT","UNarration","DNarration","Tare_W","Kat_W","Org_W","Bill_PB","Tar_R","Invt_cat","Tax_am"
"6985","7490","1","","","","","23248","102","843","5","S T M Rent","0","","","","0","0","0","0","1/4/2023 2:25:12 PM","ايس  ٹى  ايم  رينٹ  ","","","","","1","0","0","False"
"6986","7491","1","","","","","30000","102","867","5","Transfer Easy Paisa","0","","","","0","0","0","0","1/5/2023 10:40:23 AM","ٹرانسفر  ایزی  پیسہ  ","","","","","1","0","0","False"
"6987","7492","1","","","","","5000","101","867","5","A T M Cash Received","0","","","","0","0","0","0","1/5/2023 10:40:54 AM","اے  ٹى  ايم  کيش  وصول  ","","","","","1","0","0","False"
"6987","7493","1","","","","","25","101","867","5","A T M Exp","0","","","","0","0","0","0","1/5/2023 10:41:07 AM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6988","7494","1","","","","","13370","101","843","5","Cash Received","0","","","","0","0","0","0","1/5/2023 10:42:33 AM","کيش  وصول  ","","","","","1","0","0","False"
"6989","7495","1","","","","","5000","101","867","5","A T M Cash Received","0","","","","0","0","0","0","1/5/2023 11:43:44 AM","اے  ٹى  ايم  کيش  وصول  ","","","","","1","0","0","False"
"6990","7497","1","","","","","1000","102","867","5","Easy Paisa Transfer","0","","","","0","0","0","0","1/7/2023 1:01:34 PM","ایزی  پیسہ  ٹرانسفر  ","","","","","1","0","0","False"
"7008","7516","1","","","","","25","101","867","5","A T M Exp","0","","","","0","0","0","0","1/25/2023 11:15:29 AM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"7009","7517","1","","","","","1160000","102","867","5","Aksha professional Auto Plant ( Ahsaan Abbasi Madina)","0","","","","0","0","0","0","1/25/2023 11:15:51 AM","عکشا  پروفیشنل  آٹو  پلانٹ   (  احسان  عباسی  مدينہ )  ","","","","","1","0","0","False"
"7009","7518","1","","","","","1000000","102","867","5","Aksha professional Auto Plant ( Ahsaan Abbasi Madina)","0","","","","0","0","0","0","1/25/2023 11:19:24 AM","عکشا  پروفیشنل  آٹو  پلانٹ   (  احسان  عباسی  مدينہ )  ","","","","","1","0","0","False"
"7010","7519","1","","","","","1000000","101","867","5","Cheque Paid Haji Anwer (Ahsaan Abbas Madina)","0","","","","0","0","0","0","1/25/2023 11:20:03 AM","چيک  پيڈ  حاجى  انور   (احسان   عباس  مدينہ )  ","","","","","1","0","0","False"
"7011","7520","1","","","","","1160000","101","867","5","Cheque Paid Haji Anwer (Ahsaan Abbas Madina)","0","","","","0","0","0","0","1/25/2023 11:21:12 AM","چيک  پيڈ  حاجى  انور   (احسان   عباس  مدينہ )  ","","","","","1","0","0","False"
"7012","7521","1","","","","","5500","102","872","5","Zakat Paid To","0","","","","0","0","0","0","1/28/2023 2:13:03 PM","زکٰوة  پيڈ  ٹو  ","","","","","1","0","0","False"
"7013","7522","1","","","","","5000","102","872","5","Cash Paid","0","","","","0","0","0","0","1/31/2023 10:45:25 AM","کيش  پيڈ  ","","","","","1","0","0","False"
"7013","7523","1","","","","","2000","102","871","5","Cash Paid","0","","","","0","0","0","0","1/31/2023 10:45:34 AM","کيش  پيڈ  ","","","","","1","0","0","False"
"7014","7524","1","","","","","15000","101","880","5","Febuary","0","","","","0","0","0","0","1/31/2023 10:45:58 AM","فروری  ","","","","","1","0","0","False"
"7015","7525","1","","","","","52300","102","867","5","Cash Paid","0","","","","0","0","0","0","1/31/2023 10:46:27 AM","کيش  پيڈ  ","","","","","1","0","0","False"
"7016","7526","1","","","","","1689","101","355","5","Bill","0","","","","0","0","0","0","1/31/2023 10:47:43 AM","بل  ","","","","","1","0","0","False"
"7017","7527","1","","","","","23875","102","843","5","Wheat P L S","0","","","","0","0","0","0","1/31/2023 10:48:14 AM","گندم  پى  ايل  ايس  ","","","","","1","0","0","False"
"7018","7528","1","","","","","6000","102","853","5","Cash Paid","0","","","","0","0","0","0","1/31/2023 10:51:41 AM","کيش  پيڈ  ","","","","","1","0","0","False"
"7019","7529","1","","","","","6000","101","853","5","Cash Received","0","","","","0","0","0","0","1/31/2023 10:51:58 AM","کيش  وصول  ","","","","","1","0","0","False"
"7020","7530","1","","","","","133000","102","877","5","Cash Paid","0","","","","0","0","0","0","2/1/2023 1:20:50 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"7021","7531","1","","","","","123000","101","843","5","Muneer Amount","0","","","","0","0","0","0","2/1/2023 1:22:00 PM","منير  رقم  ","","","","","1","0","0","False"
"7022","7532","1","","","","","3875","101","843","5","Cash","0","","","","0","0","0","0","2/2/2023 7:25:22 PM","کيش  ","","","","","1","0","0","False"
"6993","7500","1","","","","","2","101","867","5","A T M Exp","0","","","","0","0","0","0","1/7/2023 1:14:18 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6997","7504","1","","","","","110000","201","885","5","Cash Maria","867","","","","0","0","0","0","1/10/2023 1:35:40 PM","کيش  ماریہ  ","","","","","1","0","0","False"
"6998","7505","1","","","","","110000","201","867","5","","873","","","","0","0","0","0","1/10/2023 1:38:58 PM","","","","","","1","0","0","False"
"6999","7506","1","","","","","13000","201","885","5","Maria Cash M C B","873","","","","0","0","0","0","1/12/2023 11:19:23 AM","ماریہ  کيش  ايم  سى  بى  ","","","","","1","0","0","False"
"7000","7507","1","","","","","15000","201","885","5","Online Deposit","873","","","","0","0","0","0","1/12/2023 1:06:04 PM","اون لائن  ڈيپازٹ  ","","","","","1","0","0","False"
"7002","7509","1","","","","","20000","201","885","5","Cash","873","","","","0","0","0","0","1/17/2023 1:27:56 PM","کيش  ","","","","","1","0","0","False"
"7003","7510","1","","","","","100000","102","853","5","For Gold With Hand Sana Ullah","0","","","","0","0","0","0","1/20/2023 1:39:05 PM","برائے  گولڈ  ود  ہینڈ  ثنا  اللہ  ","","","","","1","0","0","False"
"7004","7511","1","","","","","100000","102","853","5","Cash Paid","0","","","","0","0","0","0","1/21/2023 1:15:34 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"7005","7512","1","","","","","50000","102","873","5","On Line Aness Gull","0","","","","0","0","0","0","1/22/2023 11:38:50 AM","آن  لائن  انیس  گل  ","","","","","1","0","0","False"
"7006","7513","1","","","","","1750","102","355","5","Cash Paid","0","","","","0","0","0","0","1/22/2023 2:26:52 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"7007","7514","1","","","","","50000","101","873","5","Cash Mill","0","","","","0","0","0","0","1/24/2023 11:36:04 AM","کيش  مل  ","","","","","1","0","0","False"
"7008","7515","1","","","","","20000","101","867","5","A T M Cash","0","","","","0","0","0","0","1/25/2023 11:15:02 AM","اے  ٹى  ايم  کيش  ","","","","","1","0","0","False"
"6906","7399","1","","","","","2000","102","355","5","Cash","0","","","","0","0","0","0","10/30/2022 11:58:42 AM","کيش  ","","","","","1","0","0","False"
"6907","7400","1","","","","","1864","101","355","5","Bill","0","","","","0","0","0","0","10/30/2022 11:59:22 AM","بل  ","","","","","1","0","0","False"
"6908","7401","1","","","","","15750","102","843","5","P L S Wheat","0","","","","0","0","0","0","10/30/2022 12:00:41 PM","پى  ايل  ايس  گندم  ","","","","","1","0","0","False"
"6909","7402","1","","","","","8000","101","853","5","P L S Wheat","0","","","","0","0","0","0","10/30/2022 12:01:27 PM","پى  ايل  ايس  گندم  ","","","","","1","0","0","False"
"6910","7403","1","","","","","8000","101","873","5","Cash Reveived","0","","","","0","0","0","0","11/1/2022 10:57:20 AM","کيش  وصول  ","","","","","1","0","0","False"
"6911","7404","1","","","","","25000","101","867","5","A T M Cash","0","","","","0","0","0","0","11/2/2022 10:32:38 AM","اے  ٹى  ايم  کيش  ","","","","","1","0","0","False"
"6912","7405","1","","","","","2","101","867","5","A T M Exp","0","","","","0","0","0","0","11/2/2022 10:33:04 AM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6913","7406","1","","","","","20850","102","870","5","Cash Paid","0","","","","0","0","0","0","11/2/2022 10:34:38 AM","کيش  پيڈ  ","","","","","1","0","0","False"
"6914","7407","1","","","","","115750","101","843","5","P l s","0","","","","0","0","0","0","11/2/2022 12:21:00 PM","پى  ايل  ايس  ","","","","","1","0","0","False"
"6915","7408","1","","","","","1000000","102","843","5","Cash Paid","0","","","","0","0","0","0","11/2/2022 12:22:28 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"6916","7409","1","","","","","50000","102","867","5","Cash Ilays Dik","0","","","","0","0","0","0","11/2/2022 4:14:58 PM","کيش  الياس  ڈيرہ اسماعيل خان  ","","","","","1","0","0","False"
"6917","7410","1","","","","","50000","101","867","5","Home Exp Mian  Aftab","0","","","","0","0","0","0","11/2/2022 4:15:43 PM","گھر  خرچہ  مياں     آفتاب  ","","","","","1","0","0","False"
"6918","7411","1","","","","","4000","101","867","5","Cash Received","0","","","","0","0","0","0","11/16/2022 9:25:02 AM","کيش  وصول  ","","","","","1","0","0","False"
"6918","7412","1","","","","","3","101","867","5","A T M Exp","0","","","","0","0","0","0","11/16/2022 9:25:32 AM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6919","7413","1","","","","","5000","101","867","5","Cash Received","0","","","","0","0","0","0","11/16/2022 9:25:57 AM","کيش  وصول  ","","","","","1","0","0","False"
"6920","7414","1","","","","","26","101","867","5","A T M Exp","0","","","","0","0","0","0","11/16/2022 9:26:18 AM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6921","7415","1","","","","","14000","102","867","5","Cash Paid","0","","","","0","0","0","0","11/16/2022 9:26:56 AM","کيش  پيڈ  ","","","","","1","0","0","False"
"6922","7416","1","","","","","5000","102","872","5","Cash Paid","0","","","","0","0","0","0","11/16/2022 9:27:20 AM","کيش  پيڈ  ","","","","","1","0","0","False"
"6923","7417","1","","","","","5000","101","867","5","Cash Received","0","","","","0","0","0","0","11/16/2022 12:27:14 PM","کيش  وصول  ","","","","","1","0","0","False"
"6923","7418","1","","","","","26","101","867","5","A T M Exp","0","","","","0","0","0","0","11/16/2022 12:27:24 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"7341","7862","1","","","","","760000","101","867","5","Cheque Paid Aftab Hussain Car A N C 129","0","","","","0","0","0","0","7/10/2024 7:35:18 PM","چيک  پيڈ   آفتاب  حسين  کار  اے  اين  سى  129  ","","","","","1","0","0","False"
"7343","7866","1","","","","","25000","101","873","5","CASH","0","","","","0","0","0","0","7/21/2024 7:13:56 PM","کيش  ","","","","","1","0","0","False"
"7344","7867","1","","","","","150000","101","873","5","Cash","0","","","","0","0","0","0","7/29/2024 2:58:10 PM","کيش  ","","","","","1","0","0","False"
"7345","7868","1","","","","","3000","102","888","5","Cash","0","","","","0","0","0","0","7/29/2024 2:58:49 PM","کيش  ","","","","","1","0","0","False"
"7346","7869","1","","","","","2000","102","889","5","Cash","0","","","","0","0","0","0","7/29/2024 2:59:09 PM","کيش  ","","","","","1","0","0","False"
"7347","7870","1","","","","","2500","102","355","5","Cash","0","","","","0","0","0","0","7/29/2024 2:59:25 PM","کيش  ","","","","","1","0","0","False"
"7348","7871","1","","","","","2547","101","355","5","Bill","0","","","","0","0","0","0","7/29/2024 3:01:26 PM","بل  ","","","","","1","0","0","False"
"7349","7872","1","","","","","2000","101","867","5","Cash App","0","","","","0","0","0","0","7/29/2024 3:02:58 PM","کيش  ایپلیکیشن  ","","","","","1","0","0","False"
"7350","7873","1","","","","","45000","102","867","5","Cash Paid Sufi Shaban","0","","","","0","0","0","0","7/30/2024 7:24:28 PM","کيش  پيڈ  صوفى  شعبان  ","","","","","1","0","0","False"
"7351","7874","1","","","","","20000","101","867","5","Cash A T M","0","","","","0","0","0","0","7/30/2024 7:27:05 PM","کيش  اے  ٹى  ايم  ","","","","","1","0","0","False"
"7352","7875","1","","","","","23","101","867","5","A T M Exp","0","","","","0","0","0","0","7/30/2024 7:27:22 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"7353","7876","1","","","","","20000","101","867","5","Cash A T M","0","","","","0","0","0","0","7/30/2024 7:33:49 PM","کيش  اے  ٹى  ايم  ","","","","","1","0","0","False"
"7354","7877","1","","","","","24","101","867","5","A T M Exp","0","","","","0","0","0","0","7/30/2024 7:34:09 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"7355","7878","1","","","","","10000","101","867","5","Cash A T M","0","","","","0","0","0","0","7/30/2024 7:35:02 PM","کيش  اے  ٹى  ايم  ","","","","","1","0","0","False"
"7356","7879","1","","","","","24","101","867","5","A T M Exp","0","","","","0","0","0","0","7/30/2024 7:35:21 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"7357","7880","1","","","","","5000","102","867","5","Cash Paid  Online","0","","","","0","0","0","0","7/30/2024 7:39:09 PM","کيش  پيڈ    اون لائن  ","","","","","1","0","0","False"
"7358","7881","1","","","","","12300","102","873","5","H B L","0","","","","0","0","0","0","8/6/2024 7:00:08 PM","ايچ  بى  ايل  ","","","","","1","0","0","False"
"6924","7419","1","","","","","4000","101","867","5","Cash Received","0","","","","0","0","0","0","11/16/2022 12:27:49 PM","کيش  وصول  ","","","","","1","0","0","False"
"6924","7420","1","","","","","2","101","867","5","A T M Exp","0","","","","0","0","0","0","11/16/2022 12:28:07 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6925","7421","1","","","","","5000","101","867","5","A T M Cash Received","0","","","","0","0","0","0","11/21/2022 1:14:38 PM","اے  ٹى  ايم  کيش  وصول  ","","","","","1","0","0","False"
"6925","7422","1","","","","","26","101","867","5","A T M Exp","0","","","","0","0","0","0","11/21/2022 1:15:05 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6926","7423","1","","","","","25000","102","867","5","Cash Paid","0","","","","0","0","0","0","11/21/2022 1:15:26 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"6927","7424","1","","","","","5000","101","867","5","A T M Cash Received","0","","","","0","0","0","0","11/21/2022 1:16:06 PM","اے  ٹى  ايم  کيش  وصول  ","","","","","1","0","0","False"
"6927","7425","1","","","","","2","101","867","5","A T M Exp","0","","","","0","0","0","0","11/21/2022 1:16:17 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6928","7426","1","","","","","30000","102","867","5","Cash Paid","0","","","","0","0","0","0","11/23/2022 3:39:04 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"6929","7427","1","","","","","5000","101","867","5","A T M Cash","0","","","","0","0","0","0","11/28/2022 10:53:04 AM","اے  ٹى  ايم  کيش  ","","","","","1","0","0","False"
"6930","7428","1","","","","","3","101","867","5","A T M Exp","0","","","","0","0","0","0","11/28/2022 10:53:23 AM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6931","7429","1","","","","","5000","101","867","5","Cash Received A T M","0","","","","0","0","0","0","12/2/2022 11:08:58 AM","کيش  وصول  اے  ٹى  ايم  ","","","","","1","0","0","False"
"6931","7430","1","","","","","26","101","867","5","A T M Exp","0","","","","0","0","0","0","12/2/2022 11:09:13 AM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6932","7431","1","","","","","2525","101","867","5","Purchase Online","0","","","","0","0","0","0","12/2/2022 11:09:33 AM","خريد  اون لائن  ","","","","","1","0","0","False"
"6934","7433","1","","","","","2000","102","871","5","Cash Paid","0","","","","0","0","0","0","12/2/2022 11:11:58 AM","کيش  پيڈ  ","","","","","1","0","0","False"
"6934","7434","1","","","","","10000","102","872","5","Cash Paid","0","","","","0","0","0","0","12/2/2022 11:12:09 AM","کيش  پيڈ  ","","","","","1","0","0","False"
"6934","7435","1","","","","","2000","102","355","5","Bill Paid","0","","","","0","0","0","0","12/2/2022 11:12:27 AM","بل  پيڈ  ","","","","","1","0","0","False"
"6935","7436","1","","","","","1707","101","355","5","Bill","0","","","","0","0","0","0","12/2/2022 11:14:10 AM","بل  ","","","","","1","0","0","False"
"6936","7437","1","","","","","19950","102","843","5","Wheat P l s","0","","","","0","0","0","0","12/2/2022 11:21:24 AM","گندم  پى  ايل  ايس  ","","","","","1","0","0","False"
"6948","7449","1","","","","","25000","102","867","5","Cash Deposit","0","","","","0","0","0","0","12/6/2022 11:03:08 AM","کيش  ڈيپازٹ  ","","","","","1","0","0","False"
"6949","7450","1","","","","","25000","101","867","5","Cash A T M","0","","","","0","0","0","0","12/6/2022 2:39:29 PM","کيش  اے  ٹى  ايم  ","","","","","1","0","0","False"
"6950","7451","1","","","","","26","101","867","5","A T M Exp","0","","","","0","0","0","0","12/6/2022 2:39:54 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6951","7452","1","","","","","5000","101","867","5","Cash Received","0","","","","0","0","0","0","12/12/2022 12:10:50 PM","کيش  وصول  ","","","","","1","0","0","False"
"6951","7453","1","","","","","26","101","867","5","A T M Exp","0","","","","0","0","0","0","12/12/2022 12:11:02 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6952","7454","1","","","","","2000","102","872","5","Cash","0","","","","0","0","0","0","12/13/2022 12:47:08 PM","کيش  ","","","","","1","0","0","False"
"6953","7455","1","","","","","5000","101","867","5","Cash A T M","0","","","","0","0","0","0","12/16/2022 12:27:29 PM","کيش  اے  ٹى  ايم  ","","","","","1","0","0","False"
"6954","7456","1","","","","","26","101","867","5","Exp A T M","0","","","","0","0","0","0","12/16/2022 12:27:50 PM","خرچہ  اے  ٹى  ايم  ","","","","","1","0","0","False"
"6955","7457","1","","","","","53500","102","867","5","Cash Fayaz Mobile","0","","","","0","0","0","0","12/19/2022 5:49:01 PM","کيش  فياض  موبائل  ","","","","","1","0","0","False"
"6957","7458","1","","","","","54000","101","867","5","Cheque Paid","0","","","","0","0","0","0","12/20/2022 10:50:41 AM","چيک  پيڈ  ","","","","","1","0","0","False"
"6958","7459","1","","","","","40000","102","884","5","Cash Mill","0","","","","0","0","0","0","12/21/2022 12:52:16 PM","کيش  مل  ","","","","","1","0","0","False"
"6959","7460","1","","","","","40000","101","884","5","Cheque Paid Mill","0","","","","0","0","0","0","12/21/2022 12:55:18 PM","چيک  پيڈ  مل  ","","","","","1","0","0","False"
"6960","7461","1","","","","","5000","101","867","5","Cash Received A T M","0","","","","0","0","0","0","12/23/2022 12:17:09 PM","کيش  وصول  اے  ٹى  ايم  ","","","","","1","0","0","False"
"6960","7462","1","","","","","26","101","867","5","A T M Exp","0","","","","0","0","0","0","12/23/2022 12:17:36 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6961","7463","1","","","","","45000","102","884","5","Cash Mill  Mushtaq Kot Shakir","0","","","","0","0","0","0","12/26/2022 11:10:59 AM","کيش  مل    مشتاق  کوٹ  شآکر  ","","","","","1","0","0","False"
"6962","7464","1","","","","","20000","102","884","5","Cash Mill Abdul Star Gujar","0","","","","0","0","0","0","12/26/2022 11:12:27 AM","کيش  مل   عبدل  سٹار  گجر  ","","","","","1","0","0","False"
"6963","7465","1","","","","","100000","201","885","5","Cash","873","","","","0","0","0","0","12/26/2022 11:14:45 AM","کيش  ","","","","","1","0","0","False"
"6964","7466","1","","","","","15000","201","885","5","Cash","873","","","","0","0","0","0","12/26/2022 11:15:46 AM","کيش  ","","","","","1","0","0","False"
"6937","7438","1","","","","","300000","101","843","5","Cash Paid Iqbal Mill","0","","","","0","0","0","0","12/2/2022 12:51:59 PM","کيش  پيڈ  اقبال  مل  ","","","","","1","0","0","False"
"6938","7439","1","","","","","200000","101","843","5","Cash Paid To Iqbal Mill","0","","","","0","0","0","0","12/2/2022 12:52:25 PM","کيش  پيڈ  ٹو  اقبال  مل  ","","","","","1","0","0","False"
"6939","7440","1","","","","","128345","102","843","5","Food Rent Amount","0","","","","0","0","0","0","12/2/2022 12:53:26 PM","فوڈ  رينٹ  رقم  ","","","","","1","0","0","False"
"6940","7441","1","","","","","15000","101","880","5","Cash Received","0","","","","0","0","0","0","12/2/2022 2:56:44 PM","کيش  وصول  ","","","","","1","0","0","False"
"6941","7442","1","","","","","48295","101","843","5","Cash","0","","","","0","0","0","0","12/4/2022 12:14:32 PM","کيش  ","","","","","1","0","0","False"
"6942","7443","1","","","","","8000","101","853","5","P L S Wheat","0","","","","0","0","0","0","12/4/2022 12:17:43 PM","پى  ايل  ايس  گندم  ","","","","","1","0","0","False"
"6943","7444","1","","","","","8000","102","853","5","Cash Paid","0","","","","0","0","0","0","12/4/2022 12:18:57 PM","کيش  پيڈ  ","","","","","1","0","0","False"
"6944","7445","1","","","","","40000","102","884","5","Cash Paid Easy Paisa","0","","","","0","0","0","0","12/4/2022 12:26:43 PM","کيش  پيڈ  ایزی  پیسہ  ","","","","","1","0","0","False"
"6945","7446","1","","","","","40000","101","884","5","Cheque Paid Sufi Mill","0","","","","0","0","0","0","12/4/2022 12:31:17 PM","چيک  پيڈ  صوفى  مل  ","","","","","1","0","0","False"
"6946","7447","1","","","","","500","102","873","5","Cash Paid Easy Paisa","0","","","","0","0","0","0","12/4/2022 12:34:01 PM","کيش  پيڈ  ایزی  پیسہ  ","","","","","1","0","0","False"
"6947","7448","1","","","","","500000","101","843","5","Cheque Paid To Dr Mamona H B L","0","","","","0","0","0","0","12/5/2022 11:25:50 AM","چيک  پيڈ  ٹو  ڈاکٹر  میمونہ  ايچ  بى  ايل  ","","","","","1","0","0","False"
"6965","7467","1","","","","","65000","101","884","5","Cheque Paid To Sufi Flour Mills For Razaq Bagh","0","","","","0","0","0","0","12/26/2022 12:08:20 PM","چيک  پيڈ  ٹو  صوفى  فلور  ملز  برائے  رزاق  باغ  ","","","","","1","0","0","False"
"6966","7468","1","","","","","5000","101","867","5","A T M Cash","0","","","","0","0","0","0","12/27/2022 2:13:46 PM","اے  ٹى  ايم  کيش  ","","","","","1","0","0","False"
"6966","7469","1","","","","","26","101","867","5","A T M Exp","0","","","","0","0","0","0","12/27/2022 2:13:58 PM","اے  ٹى  ايم  خرچہ  ","","","","","1","0","0","False"
"6967","7470","1","","","","","10000","201","885","5","Online Deposit","873","","","","0","0","0","0","12/28/2022 1:09:31 PM","اون لائن  ڈيپازٹ  ","","","","","1","0","0","False"
"6968","7471","1","","","","","643000","102","867","5","Cheque Deposit From Mian Aftab Sb","0","","","","0","0","0","0","12/29/2022 3:40:53 PM","چيک  ڈيپازٹ  از  مياں   آفتاب  صاحب  ","","","","","1","0","0","False"
